CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng),symbol,Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư vào công ty liên doanh,Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định hữu hình,Tài sản cố định vô hình,Tài sản Có khác,Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Đầu tư vào công ty con,Tài sản cố định thuê tài chính,Chênh lệch đánh giá lại tài sản,Cổ đông thiểu số,Lợi thế thương mại,Vốn Ngân sách nhà nước và quỹ khác,_Các quỹ khác
VCB,2022,4,,18348519000000,,,,,,,7985401000000,,2193516000000,,1.81419E+15,1.6762E+15,,,137988442000000,,809837000000,67499703000000,88379000000,1.81419E+15,,,,,,,47325166000000,,,,,,,1529145000000,,,VCB,92557809000000,313591813000000,1499687000000,1543575000000,-43888000000,156515000000,1.12029E+15,1.14507E+15,-24779419000000,196171212000000,100739669000000,95513376000000,-81833000000,782370000000,-117999000000,5170083000000,2815318000000,61396906000000,67314816000000,232510850000000,1.24347E+15,0,3298000000,25337894000000,107564437000000,53130392000000,18133039000000,-863071000000,0,,0,0,,,
VCB,2022,3,,16293080000000,,,,,,,7820512000000,,2217065000000,,1.64966E+15,1.52127E+15,,,128389550000000,,809837000000,57774989000000,102207000000,1.64966E+15,,,,,,,47325166000000,,,,,,,1529145000000,,,VCB,11378539000000,302927159000000,1347762000000,1407066000000,-59304000000,0,1.09397E+15,1.13014E+15,-36172581000000,177219709000000,87411490000000,89896772000000,-88553000000,762920000000,-75000000000,5060100000000,2760412000000,36489081000000,93953298000000,179758633000000,1.19715E+15,120079000000,4385000000,14698727000000,35588754000000,53130392000000,18122983000000,-741021000000,0,,0,0,,,
VCB,2022,2,,15097807000000,,,,,,,8103519000000,,2380804000000,,1.60168E+15,1.47869E+15,,,122989697000000,,344658000000,52056550000000,97774000000,1.60168E+15,,,,,,,47325166000000,,,,,,,1659597000000,,,VCB,28813961000000,255536982000000,3150052000000,3187225000000,-37173000000,0,1.06699E+15,1.10085E+15,-33861918000000,191407933000000,101203452000000,90293045000000,-88564000000,796207000000,-75000000000,5249947000000,2853572000000,30199661000000,61020549000000,171676891000000,1.19539E+15,19457000000,5485000000,14367033000000,36210276000000,52665213000000,18171942000000,-1782000000,0,,0,0,,,
VCB,2022,1,,14868054000000,,,,,,,8344847000000,,2366013000000,,1.46275E+15,1.34567E+15,,,117077688000000,,344658000000,46156897000000,92420000000,1.46275E+15,,,,,,,47325166000000,,,,,,,1659597000000,,,VCB,38888399000000,194999348000000,3297566000000,3372631000000,-75065000000,0,997707933000000,1.0289E+15,-31191811000000,171953037000000,75001289000000,97125603000000,-173855000000,781416000000,-75000000000,5386077000000,2958770000000,30322961000000,36310440000000,81277695000000,1.17967E+15,5215000000,6585000000,17380178000000,31021476000000,52665213000000,18173014000000,-9856000000,0,,0,0,,,
VCB,2021,4,,18011766000000,,,,,,,8626043000000,,2346176000000,,1.41477E+15,1.30359E+15,,,111170655000000,,344658000000,53682515000000,87113000000,1.41477E+15,,,,,,,37088774000000,,,,,,,1661461000000,,,VCB,22506711000000,225394684000000,2766098000000,2822531000000,-56433000000,303202000000,934774287000000,960749955000000,-25975668000000,170604700000000,71122502000000,99657595000000,-175397000000,759715000000,-75000000000,5552624000000,3073419000000,29431813000000,9468116000000,109757777000000,1.13532E+15,0,7707000000,17387747000000,31649565000000,42428821000000,14977015000000,-4809000000,0,,0,0,,,
VCB,2021,3,,13356519000000,,,,,,,8177405000000,,2391940000000,,1.38524E+15,1.27571E+15,,,109526852000000,,344658000000,52084482000000,98789000000,1.38524E+15,,,,,,,37088774000000,,,,,,,1671325000000,,,VCB,60969106000000,204916285000000,3583497000000,3621712000000,-38215000000,259485000000,909910950000000,936342968000000,-26432018000000,157248652000000,55437932000000,102404130000000,-593410000000,795615000000,-75000000000,5276646000000,2900759000000,24421565000000,8709185000000,106138767000000,1.10842E+15,0,8784000000,21378159000000,31054781000000,42428821000000,14919178000000,-4418000000,0,,0,0,,,
VCB,2021,2,,13132285000000,,,,,,,8317891000000,,2281134000000,,1.30418E+15,1.19924E+15,,,104939518000000,,434021000000,47408227000000,94464000000,1.30418E+15,,,,,,,37088774000000,,,,,,,1587823000000,,,VCB,23485760000000,185877601000000,3182256000000,3221327000000,-39071000000,0,897798104000000,921948437000000,-24150333000000,147996760000000,49339958000000,99230545000000,-573743000000,768311000000,-75000000000,5363219000000,2954672000000,22107315000000,9077476000000,84188617000000,1.05127E+15,30621000000,9884000000,21398107000000,33261223000000,42518184000000,14916935000000,1708000000,0,,0,0,,,
VCB,2021,1,,12277634000000,,,,,,,8333301000000,,2261397000000,,1.27897E+15,1.17796E+15,,,101007679000000,,344658000000,43552776000000,89940000000,1.27897E+15,,,,,,,37088774000000,,,,,,,1587823000000,,,VCB,24008360000000,203604117000000,3906378000000,3906378000000,0,-40138000000,850460935000000,871937942000000,-21477007000000,149886637000000,46062651000000,104464547000000,-640561000000,748574000000,-75000000000,5292741000000,3040560000000,24267237000000,18538368000000,80758597000000,1.02555E+15,63982000000,10984000000,21408307000000,31630334000000,42428821000000,14925755000000,10387000000,0,,0,0,,,
VCB,2020,4,,15095394000000,,,,,,,8540358000000,,2235538000000,,1.32754E+15,1.22868E+15,,,98859394000000,,344657000000,44118433000000,85024000000,1.32754E+15,,,,,,,37088774000000,,,,,,,1587823000000,,,VCB,33139373000000,267774393000000,1954061000000,1991861000000,-37800000000,0,820420266000000,839788261000000,-19367995000000,156931097000000,42148831000000,115382544000000,-600278000000,722715000000,-75000000000,5412135000000,3128223000000,21446532000000,41176995000000,103583833000000,1.03211E+15,52031000000,14679000000,21240197000000,30496316000000,42428820000000,12204398000000,22719000000,0,,0,0,,,
VCB,2020,3,,11526350000000,,,,,,,7030365000000,,2347260000000,,1.18857E+15,1.095E+15,,,93576020000000,,344657000000,38840704000000,98385000000,1.18857E+15,,,,,,,37088774000000,,,,,,,1678126000000,,,VCB,24743965000000,174497813000000,2250624000000,2304262000000,-53638000000,0,766794848000000,783757352000000,-16962504000000,175191060000000,37720737000000,138032750000000,-562427000000,744134000000,-75000000000,4713049000000,2317316000000,24189798000000,6050819000000,52329301000000,981492077000000,33796000000,16402000000,21261806000000,33811862000000,42428820000000,12181294000000,26817000000,0,,0,0,,,
