CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,symbol,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
TCB,2021,3,0.1843123633,9120277000000,4337600000000,0.3996691855,,,,,,,,,,,-2627889000000,,,,,,5562329000000,-1130274000000,0,4432055000000,-94455000000,4337600000000,TCB,9120277000000,-2377788000000,6742489000000,1921277000000,-424238000000,1497039000000,93418000000,-15779000000,306408000000,933055000000,-777501000000,155554000000,20000000,8779149000000,6151260000000,-588931000000,-1130274000000,
TCB,2021,2,0.3152749759,8721445000000,4711126000000,0.6724630344,,,,,,,,,,,-2590526000000,,,,,,6017766000000,-1211109000000,0,4806657000000,-95531000000,4711126000000,TCB,8721445000000,-2133645000000,6587800000000,1915726000000,-458644000000,1457082000000,100254000000,61654000000,554701000000,1066834000000,-622383000000,444451000000,21000000,9205963000000,6615437000000,-597671000000,-1211109000000,
TCB,2021,1,0.1637552172,8151158000000,4396729000000,0.7902778298,,,,,,,,,,,-2563083000000,,,,,,5518302000000,-1042085000000,0,4476217000000,-79488000000,4396729000000,TCB,8151158000000,-2027437000000,6123721000000,1706894000000,-381822000000,1325072000000,65621000000,134965000000,611531000000,1291294000000,-620023000000,671271000000,21000000,8932202000000,6369119000000,-850817000000,-1042085000000,
TCB,2020,4,0.1565450699,7665930000000,3953099000000,0.3049778724,,,,,,,,,,,-2306767000000,,,,,,5088857000000,-1081306000000,0,4007551000000,-54452000000,3953099000000,TCB,7665930000000,-2210191000000,5455739000000,1629671000000,-560537000000,1069134000000,13411000000,27787000000,500764000000,1364698000000,-673645000000,691053000000,4002000000,7761890000000,5455123000000,-366266000000,-1081306000000,
TCB,2020,3,0.2079022975,7700905000000,3099018000000,0.2132890199,,,,,,,,,,,-2489180000000,,,,,,3973866000000,-793599000000,0,3180267000000,-81249000000,3099018000000,TCB,7700905000000,-2553225000000,5147680000000,1586271000000,-441253000000,1145018000000,45850000000,127725000000,203813000000,1653429000000,-826901000000,826528000000,150000000,7496764000000,5007584000000,-1033718000000,-793599000000,
TCB,2020,2,0.1165332311,6630891000000,2816879000000,0.1693928071,,,,,,,,,,,-1839257000000,,,,,,3616843000000,-727848000000,0,2888995000000,-72116000000,2816879000000,TCB,6630891000000,-2695513000000,3935378000000,1523122000000,-268733000000,1254389000000,-30213000000,92559000000,235223000000,1269814000000,-862058000000,407756000000,39000000,5895131000000,4055874000000,-439031000000,-727848000000,
TCB,2020,1,0.153183824,7004186000000,2455892000000,0.1791158643,,,,,,,,,,,-2137714000000,,,,,,3120730000000,-615076000000,0,2505654000000,-49762000000,2455892000000,TCB,7004186000000,-2791774000000,4212412000000,1309379000000,-447378000000,862001000000,-28303000000,73326000000,557197000000,1172031000000,-818200000000,353831000000,0,6030464000000,3892750000000,-772020000000,-615076000000,
TCB,2019,4,0.1757928967,6628302000000,3029246000000,0.3442244091,,,,,,,,,,,-2336823000000,,,,,,3978026000000,-859200000000,0,3118826000000,-89580000000,3029246000000,TCB,6628302000000,-2724093000000,3904209000000,1861972000000,-498339000000,1363633000000,-33555000000,132331000000,647694000000,1490285000000,-877440000000,612845000000,20000000,6627177000000,4290354000000,-312328000000,-859200000000,
TCB,2019,3,0.1228747639,6375437000000,2554229000000,0.2401794749,,,,,,,,,,,-1794313000000,,,,,,3198548000000,-615956000000,0,2582592000000,-28363000000,2554229000000,TCB,6375437000000,-2650732000000,3724705000000,1101863000000,-466376000000,635487000000,18069000000,111482000000,445702000000,978914000000,-559784000000,419130000000,4016000000,5358591000000,3564278000000,-365730000000,-615956000000,
TCB,2019,2,0.2079470627,5938821000000,2408839000000,0.1466577619,,,,,,,,,,,-1573878000000,,,,,,3044705000000,-612023000000,0,2432682000000,-23843000000,2408839000000,TCB,5938821000000,-2740307000000,3198514000000,1103348000000,-347037000000,756311000000,110905000000,69254000000,86393000000,1007293000000,-538252000000,469041000000,146000000,4690564000000,3116686000000,-71981000000,-612023000000,
